Województwo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,38 609.40,38 639.34,38 659.98,38 666.98,38 263.30,38 253.96,38 242.20,38 218.53,38 190.61,38 173.84,38 157.06,38 125.48,38 115.64,38 135.88,38 167.33,38 529.87,38 538.45,38 533.30,38 495.66,38 478.60,38 437.24,38 432.99,38 433.56,38 411.15,38 382.58,38 088.56,37 907.70,37 766.33,37 636.51
DOLNOŚLĄSKIE,2 988.28,2 986.88,2 985.38,2 982.13,2 917.14,2 912.20,2 909.62,2 904.69,2 898.31,2 893.06,2 888.23,2 882.32,2 878.41,2 877.06,2 876.63,2 917.24,2 916.58,2 914.36,2 910.00,2 908.46,2 904.21,2 903.71,2 902.55,2 901.23,2 900.16,2 908.38,2 897.74,2 888.03,2 879.27
KUJAWSKO-POMORSKIE,2 092.98,2 095.82,2 098.02,2 100.11,2 068.86,2 067.82,2 069.75,2 069.17,2 068.14,2 068.26,2 068.25,2 066.37,2 066.14,2 067.92,2 069.08,2 098.71,2 098.37,2 096.40,2 092.56,2 089.99,2 086.21,2 083.93,2 082.94,2 077.78,2 072.37,2 031.55,2 017.72,2 006.88,1 996.00
LUBELSKIE,2 244.63,2 244.21,2 241.95,2 239.50,2 209.08,2 206.20,2 201.72,2 196.99,2 191.17,2 185.16,2 179.61,2 172.77,2 166.21,2 161.83,2 157.20,2 178.61,2 171.86,2 165.65,2 156.15,2 147.75,2 139.73,2 133.34,2 126.32,2 117.62,2 108.27,2 056.91,2 038.30,2 024.64,2 011.05
LUBUSKIE,1 014.59,1 017.60,1 020.35,1 022.52,1 007.97,1 008.47,1 008.98,1 008.20,1 008.79,1 009.17,1 009.20,1 008.52,1 008.48,1 008.96,1 010.05,1 023.22,1 023.16,1 023.32,1 021.47,1 020.31,1 018.08,1 017.38,1 016.83,1 014.55,1 011.59,993.33,985.49,979.98,975.02
ŁÓDZKIE,2 687.76,2 680.35,2 672.82,2 663.61,2 637.44,2 627.82,2 617.32,2 607.38,2 597.09,2 587.70,2 577.47,2 566.20,2 555.90,2 548.86,2 541.83,2 542.44,2 533.68,2 524.65,2 513.09,2 504.14,2 493.60,2 485.32,2 476.32,2 466.32,2 454.78,2 415.82,2 394.95,2 378.48,2 362.52
MAŁOPOLSKIE,3 190.19,3 197.06,3 206.63,3 215.89,3 217.87,3 229.14,3 236.27,3 237.22,3 252.95,3 260.20,3 266.19,3 271.21,3 279.04,3 287.14,3 298.27,3 336.70,3 346.80,3 354.08,3 360.58,3 368.34,3 372.62,3 382.26,3 391.38,3 400.58,3 410.90,3 432.69,3 430.37,3 429.01,3 429.63
MAZOWIECKIE,5 060.09,5 061.05,5 064.95,5 066.60,5 112.65,5 115.01,5 121.68,5 128.62,5 135.73,5 146.00,5 157.73,5 171.70,5 188.49,5 204.50,5 222.17,5 267.07,5 285.60,5 301.76,5 316.84,5 334.51,5 349.11,5 365.90,5 384.62,5 403.41,5 423.17,5 517.62,5 512.79,5 510.61,5 510.53
OPOLSKIE,1 093.17,1 092.52,1 091.08,1 089.59,1 074.21,1 070.60,1 066.44,1 061.01,1 055.67,1 051.53,1 047.41,1 041.94,1 037.09,1 033.04,1 031.10,1 017.24,1 013.95,1 010.20,1 004.42,1 000.86,996.01,993.04,990.07,986.51,982.63,955.84,948.58,942.44,936.73
PODKARPACKIE,2 105.60,2 112.56,2 117.34,2 122.16,2 098.77,2 101.38,2 104.14,2 105.05,2 097.25,2 097.98,2 098.26,2 097.56,2 097.34,2 099.50,2 101.73,2 127.95,2 128.69,2 129.95,2 129.29,2 129.19,2 127.66,2 127.66,2 129.14,2 129.02,2 127.16,2 096.17,2 085.93,2 079.10,2 071.68
PODLASKIE,1 221.88,1 223.13,1 223.94,1 223.80,1 212.27,1 210.69,1 209.44,1 207.70,1 205.12,1 202.43,1 199.69,1 196.10,1 192.66,1 191.47,1 189.73,1 203.45,1 200.98,1 198.69,1 194.97,1 191.92,1 188.80,1 186.63,1 184.55,1 181.53,1 178.35,1 156.59,1 148.72,1 143.36,1 138.22
POMORSKIE,2 165.68,2 172.54,2 179.10,2 185.67,2 166.23,2 172.28,2 178.34,2 183.64,2 188.92,2 194.04,2 199.04,2 203.60,2 210.92,2 219.51,2 230.10,2 275.49,2 283.50,2 290.07,2 295.81,2 302.08,2 307.71,2 315.61,2 324.25,2 333.52,2 343.93,2 358.26,2 358.73,2 358.31,2 359.57
ŚLĄSKIE,4 907.93,4 902.91,4 894.23,4 882.45,4 776.86,4 758.94,4 741.82,4 731.53,4 714.98,4 700.77,4 685.78,4 669.14,4 654.12,4 645.67,4 640.73,4 634.94,4 626.36,4 615.87,4 599.45,4 585.92,4 570.85,4 559.16,4 548.18,4 533.57,4 517.64,4 412.10,4 375.95,4 346.70,4 320.13
ŚWIĘTOKRZYSKIE,1 331.48,1 330.46,1 327.86,1 326.22,1 302.52,1 302.65,1 299.38,1 295.89,1 291.60,1 288.69,1 285.01,1 279.84,1 275.55,1 272.78,1 270.12,1 282.55,1 278.12,1 274.00,1 268.24,1 263.18,1 257.18,1 252.90,1 247.73,1 241.55,1 233.96,1 199.58,1 187.69,1 178.16,1 168.50
WARMIŃSKO-MAZURSKIE,1 452.42,1 456.72,1 460.43,1 463.52,1 424.77,1 427.51,1 428.47,1 428.45,1 428.89,1 428.71,1 428.60,1 426.88,1 426.16,1 427.07,1 427.12,1 453.78,1 452.60,1 450.70,1 446.92,1 443.97,1 439.68,1 436.37,1 433.95,1 428.98,1 422.74,1 385.62,1 374.70,1 366.43,1 357.91
WIELKOPOLSKIE,3 331.94,3 339.76,3 346.05,3 351.42,3 339.75,3 345.32,3 350.44,3 355.28,3 359.93,3 365.28,3 372.42,3 378.50,3 386.88,3 397.62,3 408.28,3 446.75,3 455.48,3 462.20,3 467.02,3 472.58,3 475.32,3 481.63,3 489.21,3 493.97,3 498.73,3 507.04,3 500.03,3 493.58,3 487.97
ZACHODNIOPOMORSKIE,1 720.78,1 725.76,1 729.85,1 731.80,1 696.93,1 697.94,1 698.40,1 697.72,1 696.07,1 694.87,1 694.18,1 692.84,1 692.27,1 692.96,1 693.20,1 723.74,1 722.74,1 721.41,1 718.86,1 715.43,1 710.48,1 708.17,1 705.53,1 701.03,1 696.19,1 661.07,1 650.02,1 640.62,1 631.78
