IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2019,false,,,,,,,,,,,,,0.86,,,0.041,,1.69,0.9 [0.0 - 1.7],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,false,,,,,,,,,,,,,0.88,,,0.14,,1.66,0.9 [0.1 - 1.7],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,TUR,Türkiye,Year,2019,false,,,,,,,,,,,,,1.27,,,0.26,,2.21,1.3 [0.3 - 2.2],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,HRV,Croatia,Year,2019,false,,,,,,,,,,,,,10.14,,,7.31,,12.83,10.1 [7.3 - 12.8],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,false,,,,,,,,,,,,,10.14,,,7.34,,12.85,10.1 [7.3 - 12.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,PRT,Portugal,Year,2019,false,,,,,,,,,,,,,10.24,,,7.49,,12.97,10.2 [7.5 - 13.0],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,SVK,Slovakia,Year,2019,false,,,,,,,,,,,,,10.33,,,7.57,,13.1,10.3 [7.6 - 13.1],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,SVN,Slovenia,Year,2019,false,,,,,,,,,,,,,10.39,,,7.54,,13.17,10.4 [7.5 - 13.2],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,ROU,Romania,Year,2019,false,,,,,,,,,,,,,10.65,,,7.73,,13.51,10.7 [7.7 - 13.5],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,ESP,Spain,Year,2019,false,,,,,,,,,,,,,10.67,,,7.79,,13.5,10.7 [7.8 - 13.5],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,POL,Poland,Year,2019,false,,,,,,,,,,,,,10.72,,,7.9,,13.5,10.7 [7.9 - 13.5],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2019,false,,,,,,,,,,,,,10.97,,,8.08,,13.78,11.0 [8.1 - 13.8],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,HUN,Hungary,Year,2019,false,,,,,,,,,,,,,11,,,8.13,,13.88,11.0 [8.1 - 13.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,AND,Andorra,Year,2019,false,,,,,,,,,,,,,11.06,,,8.11,,13.86,11.1 [8.1 - 13.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,false,,,,,,,,,,,,,11.07,,,8.15,,13.97,11.1 [8.1 - 14.0],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,DEU,Germany,Year,2019,false,,,,,,,,,,,,,11.11,,,8.16,,13.95,11.1 [8.2 - 13.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2019,false,,,,,,,,,,,,,11.28,,,8.36,,14.28,11.3 [8.4 - 14.3],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,false,,,,,,,,,,,,,11.39,,,8.44,,14.39,11.4 [8.4 - 14.4],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,FRA,France,Year,2019,false,,,,,,,,,,,,,11.46,,,8.54,,14.49,11.5 [8.5 - 14.5],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,AUT,Austria,Year,2019,false,,,,,,,,,,,,,11.7,,,8.73,,14.68,11.7 [8.7 - 14.7],,,EN,2024-06-20T22:00:00.000Z
