IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,ARM,Armenia,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHARM,"Food and Agriculture Organization of the UN (FAO) 1990-1999; merged (GlobalData, IWSR, OIV) 2000-2020",,0.007,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,AUT,Austria,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHAUT,Food and Agriculture Organization of the UN (FAO) 1960-1962; World Dink Trends (WDT) 1963-1999; Handbook on Alcohol 2000-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHAZE,"Food and Agriculture Organization of the UN (FAO) 1990-1999; merged (GlobalData, IWSR, OIV) 2000-2008; Statistical Yearbook 2009-2020",,0.006,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHCYP,World Drink Trends  (WDT) 1961-1999; Statistics Cyprus 2000-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHCZE,World Drink Trends  (WDT) 1993-1999; Czech Statistical Office 2000-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHDNK,World Drink Trends  (WDT) 1961-1989; Statistics Denmark 1990-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHGEO,"Food and Agriculture Organization of the UN (FAO) 1990-1999; merged (GlobalData, IWSR, OIV) 2000-2020",,0.021,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,DEU,Germany,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHDEU,World Drink Trends (WDT) 1961-1990; Federal Statistical Office (Destasis) 1991-1999; WHO Global Survey on Alcohol and Health 2000-2004; Federal Statistical Office (Destasis) 2005-2010; Federal Office for Information Security (BSI) 2011-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,HUN,Hungary,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHHUN,World Drink Trends (WDT) 1961-1999; WHO Global Survey on Alcohol and Health 2000-2004; Hungarian Central Statistical Office 2005-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",numeric,EUR,Europe,Country,ISL,Iceland,Year,2019,false,Beverage Types,Other alcoholic beverages,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,DATASOURCE_GISAHISL,World Drink Trends  (WDT) 1961-1999; Statistics Iceland 2000-2020,,0,,,,,,0,,,EN,2024-08-11T22:00:00.000Z
